Size;Measure;Time_1st_level;Time_2nd_level
3551;2;0.045000;126.934000
3551;3;0.045000;126.756000
3551;4;0.044000;127.121000
3551;5;0.043000;126.804000
3551;6;0.044000;126.814000
3551;7;0.044000;127.162000
3551;8;0.045000;126.829000
3551;9;0.045000;126.664000
3601;0;0.044000;130.534000
3601;1;0.045000;131.187000
3601;2;0.045000;130.529000
3601;3;0.045000;130.449000
3601;4;0.045000;130.309000
3601;5;0.066000;130.370000
3601;6;0.045000;130.388000
3601;7;0.044000;130.342000
3601;8;0.045000;130.874000
3601;9;0.045000;130.418000
3651;0;0.046000;134.042000
3651;1;0.046000;134.246000
3651;2;0.047000;134.424000
3651;3;0.046000;134.208000
3651;4;0.046000;134.270000
3651;5;0.046000;134.177000
3651;6;0.047000;134.066000
3651;7;0.047000;134.052000
3651;8;0.047000;134.653000
3651;9;0.046000;134.016000
3701;0;0.044000;138.006000
3701;1;0.046000;137.683000
3701;2;0.046000;138.150000
3701;3;0.046000;137.729000
3701;4;0.047000;137.681000
3701;5;0.046000;137.703000
3701;6;0.047000;137.716000
3701;7;0.045000;137.958000
3701;8;0.045000;137.823000
3701;9;0.046000;137.613000
3751;0;0.046000;141.500000
3751;1;0.046000;141.504000
3751;2;0.046000;141.441000
3751;3;0.047000;141.408000
3751;4;0.046000;141.468000
3751;5;0.046000;142.076000
3751;6;0.047000;141.659000
3751;7;0.045000;141.911000
3751;8;0.048000;141.759000
3751;9;0.045000;142.453000
3801;0;0.049000;145.283000
3801;1;0.047000;146.611000
3801;2;0.048000;145.458000
3801;3;0.048000;145.382000
3801;4;0.049000;145.282000
3801;5;0.047000;0.020000
3801;6;0.047000;145.367000
3801;7;0.047000;145.358000
3801;8;0.047000;145.315000
3801;9;0.048000;145.741000
3851;0;0.048000;149.226000
3851;1;0.048000;149.298000
3851;2;0.047000;149.264000
3851;3;0.049000;149.111000
3851;4;0.048000;149.127000
3851;5;0.049000;149.429000
3851;6;0.048000;149.142000
3851;7;0.048000;149.079000
3851;8;0.048000;149.463000
3851;9;0.048000;149.089000
3901;0;0.048000;153.035000
3901;1;0.048000;153.122000
3901;2;0.048000;153.083000
3901;3;0.047000;153.151000
3901;4;0.050000;153.153000
3901;5;0.048000;153.176000
3901;6;0.048000;153.166000
3901;7;0.047000;153.140000
3901;8;0.048000;153.211000
3901;9;0.048000;152.974000
3951;0;0.048000;157.751000
3951;1;0.048000;156.889000
3951;2;0.049000;157.226000
3951;3;0.049000;156.912000
3951;4;0.049000;157.203000
3951;5;0.048000;157.192000
3951;6;0.049000;157.040000
3951;7;0.049000;157.302000
3951;8;0.048000;156.925000
3951;9;0.048000;156.978000
4001;0;0.049000;161.003000
4001;1;0.049000;160.985000
4001;2;0.049000;160.966000
4001;3;0.049000;161.222000
4001;4;0.049000;161.280000
4001;5;0.050000;160.954000
4001;6;0.050000;160.777000
4001;7;0.051000;160.949000
4001;8;0.049000;161.019000
4001;9;0.048000;160.954000
4051;0;0.050000;165.102000
4051;1;0.050000;165.200000
4051;2;0.050000;165.236000
4051;3;0.048000;165.284000
4051;4;0.051000;167.657000
4051;5;0.051000;165.216000
4051;6;0.051000;164.979000
4051;7;0.050000;164.866000
4051;8;0.050000;165.264000
4051;9;0.050000;165.000000
4101;0;0.052000;169.306000
4101;1;0.049000;169.097000
4101;2;0.052000;169.204000
4101;3;0.051000;169.078000
4101;4;0.050000;169.200000
4101;5;0.051000;169.271000
4101;6;0.050000;169.134000
4101;7;0.051000;169.182000
4101;8;0.050000;169.322000
4101;9;0.051000;169.234000
4151;0;0.052000;173.318000
4151;1;0.051000;173.415000
4151;2;0.051000;173.120000
4151;3;0.051000;173.783000
4151;4;0.052000;173.178000
4151;5;0.051000;173.501000
4151;6;0.052000;173.204000
4151;7;0.052000;173.596000
4151;8;0.051000;173.219000
4151;9;0.051000;173.510000
4201;0;0.050000;177.552000
4201;1;0.050000;177.545000
4201;2;0.052000;177.863000
4201;3;0.051000;178.326000
4201;4;0.050000;177.889000
4201;5;0.051000;177.423000
4201;6;0.051000;177.571000
4201;7;0.051000;177.567000
4201;8;0.051000;177.559000
4201;9;0.051000;177.506000
4251;0;0.052000;181.720000
4251;1;0.052000;181.963000
4251;2;0.052000;182.216000
4251;3;0.052000;181.660000
4251;4;0.052000;181.898000
4251;5;0.053000;181.699000
4251;6;0.052000;181.670000
4251;7;0.053000;181.817000
4251;8;0.053000;181.645000
4251;9;0.053000;182.074000
4301;0;0.051000;186.317000
4301;1;0.053000;185.920000
4301;2;0.067000;185.992000
4301;3;0.052000;186.039000
4301;4;0.052000;185.994000
4301;5;0.052000;186.749000
4301;6;0.058000;185.853000
4301;7;0.052000;185.939000
4301;8;0.052000;185.986000
4301;9;0.052000;186.035000
4351;0;0.053000;190.550000
4351;1;0.052000;190.238000
4351;2;0.067000;190.251000
4351;3;0.053000;190.465000
4351;4;0.054000;190.764000
4351;5;0.053000;190.219000
4351;6;0.053000;190.602000
4351;7;0.053000;190.598000
4351;8;0.052000;190.356000
4351;9;0.054000;190.206000
4401;0;0.053000;194.721000
4401;1;0.053000;195.334000
4401;2;0.053000;194.778000
4401;3;0.053000;194.882000
4401;4;0.054000;194.707000
4401;5;0.054000;194.678000
4401;6;0.054000;194.689000
4401;7;0.053000;194.744000
4401;8;0.054000;195.139000
4401;9;0.053000;194.730000
4451;0;0.053000;199.279000
4451;1;0.054000;199.854000
4451;2;0.053000;200.009000
4451;3;0.053000;199.945000
4451;4;0.053000;199.253000
4451;5;0.054000;199.297000
4451;6;0.053000;199.269000
4451;7;0.053000;199.537000
4451;8;0.053000;199.439000
4451;9;0.054000;199.307000
4501;0;0.055000;203.872000
4501;1;0.055000;206.831000
4501;2;0.055000;203.832000
4501;3;0.055000;204.852000
4501;4;0.055000;206.981000
4501;5;0.055000;203.990000
4501;6;0.055000;203.740000
4501;7;0.056000;203.673000
4501;8;0.055000;203.499000
4501;9;0.054000;204.336000
4551;0;0.055000;208.403000
4551;1;0.055000;209.467000
4551;2;0.054000;208.267000
4551;3;0.055000;208.456000
4551;4;0.055000;209.567000
4551;5;0.055000;208.396000
4551;6;0.055000;208.199000
4551;7;0.055000;208.693000
4551;8;0.054000;208.456000
4551;9;0.054000;208.368000
4601;0;0.057000;213.264000
4601;1;0.055000;213.029000
4601;2;0.054000;215.179000
4601;3;0.055000;213.280000
4601;4;0.055000;212.800000
4601;5;0.055000;212.855000
4601;6;0.055000;213.330000
4601;7;0.055000;212.788000
4601;8;0.055000;214.391000
4601;9;0.055000;212.876000
4651;0;0.059000;217.718000
4651;1;0.056000;217.333000
4651;2;0.056000;217.527000
4651;3;0.055000;217.389000
4651;4;0.055000;217.562000
4651;5;0.059000;219.851000
4651;6;0.056000;217.715000
4651;7;0.055000;218.184000
